rankNumber,record,sampleCount,promotedToJuryoCount,promotedToJuryoRate,notPromotedRate
幕下1枚目,4-3,239,208,87.0,13.0
幕下1枚目,5-2,154,150,97.4,2.6
幕下1枚目,6-1,55,54,98.2,1.8
幕下1枚目,7-0,14,14,100.0,0.0
幕下2枚目,4-3,209,110,52.6,47.4
幕下2枚目,5-2,146,134,91.8,8.2
幕下2枚目,6-1,52,52,100.0,0.0
幕下2枚目,7-0,19,19,100.0,0.0
幕下3枚目,4-3,205,67,32.7,67.3
幕下3枚目,5-2,130,114,87.7,12.3
幕下3枚目,6-1,42,40,95.2,4.8
幕下3枚目,7-0,14,14,100.0,0.0
幕下4枚目,4-3,189,29,15.3,84.7
幕下4枚目,5-2,125,85,68.0,32.0
幕下4枚目,6-1,43,42,97.7,2.3
幕下4枚目,7-0,19,19,100.0,0.0
幕下5枚目,4-3,196,13,6.6,93.4
幕下5枚目,5-2,122,47,38.5,61.5
幕下5枚目,6-1,52,42,80.8,19.2
幕下5枚目,7-0,13,13,100.0,0.0
